acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap
CLO	Cell Line Ontology	0.0	5	0.009823182711198428	macronutrient#food additive#toxic agent#micronutrient#malnutrition	43325	65	2008	2022	0.0001154068090017311
CARO	Common Anatomy Reference Ontology	0.0	3	0.005893909626719057	macronutrient#toxic agent#food additive	721	16	2010	2023	0.0
DINTO	The Drug-Drug Interactions Ontology	0.0	8	0.015717092337917484	xenobiotics#dietary fat#macronutrient#food additive#vitamin#food#toxic agent#micronutrient	28178	5	2014	2015	0.0002839094328909078
ONSTR	Ontology for Newborn Screening Follow-up and Translational Research	0.0	5	0.009823182711198428	dietary fiber#macronutrient#processed food#food#micronutrient	1866	5	2012	2014	0.0026795284030010718
NIFDYS	Neuroscience Information Framework (NIF) Dysfunction Ontlogy	0.0	5	0.009823182711198428	energy#macronutrient#food additive#toxic agent#micronutrient	11251	16	2010	2018	0.00044440494178295264
PECO	Plant Experimental Conditions Ontology	0.0	10	0.019646365422396856	xenobiotics#radiation exposure#vitamin#macronutrient#food additive#chemical exposure#environmental condition#toxic agent#micronutrient#pesticide exposure	3135	31	2008	2023	0.003189792663476874
AGRO	AGRonomy Ontology	0.0	9	0.01768172888015717	energy#radiation#macronutrient#food additive#environmental condition#food#toxic agent#micronutrient#electromagnetic radiation	4163	6	2016	2022	0.002161902474177276
OCE	Ontology of Chemical Elements	0.0	2	0.003929273084479371	macronutrient#micronutrient	249	2	2020	2020	0.0
ENVO	Environment Ontology	0.0	14	0.0275049115913556	energy#radiation#ionizing radiation#leisure#urban area#smokeless tobacco#macronutrient#eating behavior#food additive#environmental condition#food#toxic agent#micronutrient#electromagnetic radiation	6997	56	2008	2023	0.0020008575103615837
PATO	Phenotypic Quality Ontology	0.0	5	0.009823182711198428	energy#macronutrient#food additive#toxic agent#micronutrient	10589	184	2008	2023	0.0004721881197469072
MCO	Microbial Conditions Ontology	0.0	6	0.011787819253438114	xenobiotics#vitamin#macronutrient#food additive#toxic agent#micronutrient	3384	1	2019	2019	0.0017730496453900709
XPO	Xenopus Phenotype Ontology	0.0	4	0.007858546168958742	macronutrient#toxic agent#food additive#micronutrient	30657	10	2019	2022	0.0
ZP	Zebrafish Phenotype Ontology	0.0	10	0.019646365422396856	xenobiotics#vitamin#macronutrient#eating behavior#food additive#eating behaviour#food#sleep#toxic agent#micronutrient	63473	3	2019	2022	0.00015754730357789927
INBANCIDO	Assessment of Indian Economy During Covid-19 	0.0	8	0.015717092337917484	xenobiotics#macronutrient#eating behavior#food additive#eating behaviour#toxic agent#micronutrient#malnutrition	7834	1	2021	2021	0.0010211896859841716
BNO	Bionutrition Ontology	0.0	3	0.005893909626719057	macronutrient#education#micronutrient	100	2	2013	2013	0.0
OCMR	Ontology of Chinese Medicine for Rheumatism	0.0	5	0.009823182711198428	vitamin#macronutrient#food additive#toxic agent#micronutrient	3359	3	2017	2017	0.0014885382554331646
PHIPO	Pathogen Host Interaction Phenotype Ontology	0.0	6	0.011787819253438114	xenobiotics#vitamin#macronutrient#food additive#toxic agent#micronutrient	3946	26	2019	2023	0.0015205271160669033
DPO	Drosophila Phenotype Ontology	0.0	7	0.0137524557956778	radiation#macronutrient#food additive#environmental condition#sleep#micronutrient#electromagnetic radiation	1424	29	2019	2023	0.0049157303370786515
FB-CV	FlyBase Controlled Vocabulary	0.0	7	0.0137524557956778	xenobiotics#ionizing radiation#vitamin#macronutrient#food additive#toxic agent#micronutrient	2299	46	2008	2023	0.003044802087864289
FOVT	FuTRES Ontology of Vertebrate Traits	0.0	4	0.007858546168958742	macronutrient#toxic agent#food additive#micronutrient	11322	7	2020	2023	0.0
DRON	The Drug Ontology	0.0	6	0.011787819253438114	xenobiotics#vitamin#macronutrient#food additive#toxic agent#micronutrient	679237	20	2014	2023	8.833441052239498e-06
PCL	Provisional Cell Ontology	0.0	6	0.011787819253438114	macronutrient#food additive#toxic agent#micronutrient#CBT#dream	182113	22	2018	2024	3.29465771251915e-05
CHEBI	Chemical Entities of Biological Interest Ontology	0.0	8	0.015717092337917484	xenobiotics#vitamin#macronutrient#food additive#food#toxic agent#dioxin#micronutrient	216255	190	2008	2024	3.699336431527595e-05
FYPO	Fission Yeast Phenotype Ontology	0.0	6	0.011787819253438114	xenobiotics#vitamin#macronutrient#food additive#toxic agent#micronutrient	16559	467	2011	2024	0.0003623407210580349
OBA	Ontology of Biological Attributes	0.0	12	0.023575638506876228	energy#heavy metal poisoning#sleeping behavior#macronutrient#food additive#eating behavior#food#alcohol consumption#sleep quality#sleep#sleep duration#micronutrient	63337	17	2017	2024	0.0001894627153164817
RBO	Radiation Biology Ontology	0.0	8	0.015717092337917484	energy#radiation#ionizing radiation#radiation exposure#macronutrient#environmental condition#toxic agent#electromagnetic radiation	5751	25	2020	2024	0.0013910624239262736
GO-PLUS	go-plus	0.0	7	0.0137524557956778	macronutrient#eating behavior#food additive#eating behaviour#sleep#tobacco#micronutrient	83671	691	2015	2024	8.366100560528738e-05
INBIO	Invasion Biology Ontology	0.0	5	0.009823182711198428	urbanized area#energy#radiation#environmental condition#micronutrient	458	2	2022	2023	0.010917030567685589
VANDF	Veterans Health Administration National Drug File	0.5	4	0.007858546168958742	food#vitamin#tobacco#occupational activity	30481	22	2013	2023	0.0
NCBITAXON	National Center for Biotechnology Information (NCBI) Organismal Classification	0.5	4	0.007858546168958742	food#vitamin#tobacco#occupational activity	696599	22	2008	2023	0.0
COSTART	Coding Symbols for a Thesaurus of Adverse Reaction Terms	0.5	5	0.009823182711198428	vitamin#food#sleep#dream#occupational activity	1707	22	2013	2023	0.0029291154071470417
NDDF	National Drug Data File	0.5	3	0.005893909626719057	food#vitamin#occupational activity	31518	22	2013	2023	0.0
HCPCS	Healthcare Common Procedure Coding System	0.5	3	0.005893909626719057	food#vitamin#occupational activity	7454	22	2013	2023	0.0
ICD10CM	International Classification of Diseases, Version 10 - Clinical Modification	0.5	7	0.0137524557956778	vitamin#lack of physical exercise#food#tobacco use#gambling and betting#exposure to ionizing radiation#occupational activity	97191	24	2010	2023	7.202312971365662e-05
AI-RHEUM	Artificial Intelligence Rheumatology Consultant System Ontology	0.5	3	0.005893909626719057	food#vitamin#occupational activity	808	22	2013	2023	0.0
ICPC2P	International Classification of Primary Care - 2 PLUS	0.5	6	0.011787819253438114	vitamin#cognitive behavioral therapy#psychotherapy#food#occupational activity#malnutrition	7537	22	2013	2023	0.000796072707973995
ICD10	International Classification of Diseases, Version 10	0.5	10	0.019646365422396856	drug use#vitamin#lack of physical exercise#food#tobacco use#alcohol use#exposure to radiation#gambling and betting#occupational activity#malnutrition	12445	22	2013	2023	0.0008035355564483728
WHO-ART	World Health Organization (WHO) Adverse Reaction Terminology	0.5	3	0.005893909626719057	food#vitamin#occupational activity	1851	22	2013	2023	0.0
ICD10PCS	International Classification of Diseases, Version 10 - Procedure Coding System	0.5	4	0.007858546168958742	food#vitamin#occupational activity#meditation	191404	23	2009	2023	0.0
ICD9CM	International Classification of Diseases, Version 9 - Clinical Modification	0.5	6	0.011787819253438114	vitamin#lack of physical exercise#food#exposure to radiation#gambling and betting#occupational activity	22533	24	2008	2023	0.00026627612834509385
MDDB	Master Drug Data Base Clinical Drugs	0.5	3	0.005893909626719057	food#vitamin#occupational activity	13817	10	2013	2017	0.0
PDQ	Physician Data Query	0.5	7	0.0137524557956778	smokeless tobacco#vitamin#meditation#food#phytochemical#occupational activity#malnutrition	13452	24	2007	2023	0.0005203687184061849
OMIM	Online Mendelian Inheritance in Man	0.5	6	0.011787819253438114	vitamin#food#CBT#dream#occupational activity#malnutrition	104872	24	2007	2023	5.7212602029140285e-05
RXNORM	RxNORM	0.5	3	0.005893909626719057	food#vitamin#occupational activity	107690	25	2009	2023	0.0
FMPM	Food Matrix for Predictive Microbiology	0.0	1	0.0019646365422396855	food	162	5	2018	2018	0.0
ROO	Radiation Oncology Ontology	0.0	3	0.005893909626719057	food#vitamin#occupational activity	1307	8	2014	2018	0.0
STY	Semantic Types Ontology	0.0	3	0.005893909626719057	food#vitamin#occupational activity	127	21	2013	2023	0.0
ICNP	International Classification for Nursing Practice	0.0	8	0.015717092337917484	energy#radiation#literacy#vitamin#neighbourhood#meditation#food#malnutrition	4476	6	2009	2019	0.0017873100983020554
COGPO	Cognitive Paradigm Ontology	0.0	1	0.0019646365422396855	food	199	1	2010	2010	0.0
MSTDE-FRE	Minimal Standard Terminology of Digestive Endoscopy, French	0.0	3	0.005893909626719057	food#vitamin#occupational activity	1827	22	2013	2023	0.0
ADW	Animal Natural History and Life History Ontology	0.0	1	0.0019646365422396855	food	364	1	2010	2010	0.0
CSTD	Clinical smell and taste disorders	0.0	1	0.0019646365422396855	food	98	1	2019	2019	0.0
HPIO	Host Pathogen Interactions Ontology	0.0	2	0.003929273084479371	food#eating behaviour	275	1	2011	2011	0.0
GENEPIO	Genomic Epidemiology Application Ontology 	0.0	4	0.007858546168958742	food#urban area#malnutrition#smoking	7208	1	2023	2023	0.0
MSTDE	Minimal Standard Terminology of Digestive Endoscopy	0.0	3	0.005893909626719057	food#vitamin#occupational activity	1826	22	2013	2023	0.0
CASE-BASE-ONTO	Case-base ontology for gastric dystemperament in Persian medicine	0.0	1	0.0019646365422396855	food	71	1	2021	2021	0.0
SWEET	Semantic Web for Earth and Environment Technology Ontology	0.0	8	0.015717092337917484	energy#metropolitan area#radiation#ionizing radiation#urban area#activity level#food#electromagnetic radiation	10239	13	2011	2022	0.0007813263013966208
ATC	Anatomical Therapeutic Chemical Classification	0.0	3	0.005893909626719057	food#vitamin#occupational activity	6691	20	2011	2023	0.0
SNMI	Systematized Nomenclature of Medicine, International Version	0.0	22	0.043222003929273084	drinking alcohol#physical activities#NREM sleep#ionizing radiation#economic status#REM sleep#lack of physical exercise#active sleep#dioxin#radiation#food#gambling#paradoxical sleep#tobacco#social context#caloric intake#rapid eye movement sleep#bedtime#vitamin#electromagnetic radiation#deep sleep#occupational activity	109150	22	2013	2023	0.00020155748969308293
CPT	CPT - Current Procedural Terminology	0.0	3	0.005893909626719057	food#vitamin#occupational activity	14403	3	2020	2020	0.0
OFSMR	Open Predictive Microbiology Ontology	0.0	1	0.0019646365422396855	food	159	19	2015	2015	0.0
BIOLINK	Biolink Model	0.0	3	0.005893909626719057	food#food additive#chemical exposure	464	53	2022	2023	0.0
ICF	International Classification of Functioning, Disability and Health	0.0	6	0.011787819253438114	sports#food#socializing#environmental factors#amount of sleep#education	1596	3	2009	2012	0.0037593984962406013
ENM	eNanoMapper	0.0	9	0.01768172888015717	employment status#radiation exposure#food additive#food#sleep quality#sleep time#sleep duration#sleep depth#calorie	25794	34	2015	2023	0.0003489183531053733
SCO	Study Cohort Ontology	0.0	6	0.011787819253438114	energy#radiation exposure#chemical exposure#alcohol use#calorie#education	2712	5	2019	2019	0.0022123893805309734
OBIB	Ontology for Biobanking	0.0	2	0.003929273084479371	alcohol use#tobacco	1804	12	2014	2023	0.0
MIO	Myocardial Infarction Ontology	0.0	26	0.05108055009823183	socioeconomic status#alcohol consumption#employment status#dust exposure#sleeping behavior#sleep duration#vibration exposure#exposure to dust#education#employment#physical activity#smoking#household income#urban area#consumption of alcohol#sports#income#sedentary lifestyle#household activity#caloric intake#education level#urban environment#alcohol use#vitamin intake#leisure time physical activity#physical fitness	0	3	2022	2023	0.0
HFO	Heart Failure Ontology	0.0	7	0.0137524557956778	activity level#alcohol consumption#tobacco use#fluid intake#tobacco#illicit drug use#malnutrition	1652	1	2015	2015	0.00423728813559322
NIO	Neuropsychological Integrative Ontology	0.0	7	0.0137524557956778	sleeping behavior#eating behavior#REM sleep#eating behaviour#alcohol consumption#paradoxical sleep#rapid eye movement sleep	3303	2	2020	2020	0.002119285498032092
PDON	Parkinson's Disease Ontology	0.0	3	0.005893909626719057	alcohol consumption#exposure to pesticide#vitamin intake	632	1	2015	2015	0.0
SATO	SATO (IDEAS expAnded wiTh BCIO): workflow for designers of patient-centered mobile health behaviour change intervention applications	0.0	3	0.005893909626719057	alcohol consumption#travel behaviour#urban area	1195	2	2022	2022	0.0
SCDO	Sickle Cell Disease Ontology	0.0	16	0.03143418467583497	physical environment#socioeconomic status#employment status#urban area#socioeconomic factors#urban environment#cognitive behavioral therapy#meditation#alcohol consumption#psychotherapy#sedentary lifestyle#social environment#CBT#education#employment#smoking	2072	15	2017	2021	0.007722007722007722
MEPO	Mapping of Epilepsy Ontologies	0.0	5	0.009823182711198428	alcohol consumption#deep sleep#sleep stage#dream#environmental factors	5687	6	2020	2021	0.0008791981712678037
OCD	OCD ontology	0.0	7	0.0137524557956778	drinking alcohol#social networking#physical work#eating behavior#smoking tobacco#rapid eye movement sleep#physical activity	2475	6	2022	2022	0.0028282828282828283
GO-EXT	Gene Ontology Extension	0.5	3	0.005893909626719057	sleep#eating behavior#eating behaviour	35873	2	2010	2011	0.0
GO	Gene Ontology	0.5	3	0.005893909626719057	sleep#eating behavior#eating behaviour	51375	1510	2008	2024	0.0
NIGO	Neural-Immune Gene Ontology	0.0	3	0.005893909626719057	sleep#eating behavior#eating behaviour	4842	2	2010	2010	0.0
PLANP	Planarian Phenotype Ontology	0.0	3	0.005893909626719057	sleep#eating behavior#eating behaviour	3562	5	2019	2020	0.0
LIFO	Life Ontology	0.0	2	0.003929273084479371	eating behavior#eating behaviour	215	1	2018	2018	0.0
VEO	Visualized Emotion Ontology	0.0	2	0.003929273084479371	eating behavior#rapid eye movement sleep	730	1	2017	2017	0.0
MFOMD	MFO Mental Disease Ontology	0.0	2	0.003929273084479371	eating behavior#rapid eye movement sleep	879	2	2017	2020	0.0
PHAGE	Phylogenetics Ontology	0.0	3	0.005893909626719057	sleep#eating behavior#eating behaviour	51403	5	2016	2016	0.0
REGN_GO	REGN_GO	0.0	3	0.005893909626719057	sleep#eating behavior#eating behaviour	51063	1	2023	2023	0.0
MFOEM	Emotion Ontology	0.0	2	0.003929273084479371	eating behavior#rapid eye movement sleep	620	40	2011	2022	0.0
PMAPP-PMO	PMO Precision Medicine Ontology	0.0	7	0.0137524557956778	pesticide residues#xenobiotics#heavy metal poisoning#dietary fiber#eating behavior#sleep#malnutrition	76155	1	2020	2020	9.191779922526427e-05
CMO	Clinical Measurement Ontology	0.0	1	0.0019646365422396855	eating behaviour	3969	122	2011	2024	0.0
CDNO	Compositional Dietary Nutrition Ontology	0.0	1	0.0019646365422396855	dietary fibre	2060	9	2022	2022	0.0
FLOPO	Flora Phenotype Ontology	0.0	2	0.003929273084479371	energy#radiation exposure	26873	8	2014	2016	0.0
OM	Ontology of units of Measure	0.0	1	0.0019646365422396855	energy	814	24	2020	2023	0.0
OBOE	The Extensible Observation Ontology	0.0	1	0.0019646365422396855	energy	292	4	2016	2019	0.0
RO	Radiomics Ontology	0.0	1	0.0019646365422396855	energy	458	6	2017	2017	0.0
ECOSIM	ecosim ontology	0.0	2	0.003929273084479371	energy#radiation	1684	1	2023	2023	0.0
HHEARP	HHEAR Properties	0.0	4	0.007858546168958742	energy#calorie#chemical exposure#radiation exposure	2489	3	2022	2023	0.0
HASCO	Human-Aware Science Ontology	0.0	4	0.007858546168958742	energy#calorie#chemical exposure#radiation exposure	2489	4	2019	2023	0.0
M4M19-SUBS	M4M19 Subjects	0.0	1	0.0019646365422396855	energy	2	3	2021	2021	0.0
HUPSON	Human Physiology Simulation Ontology	0.0	4	0.007858546168958742	energy#radiation#sleep patterns#radiation exposure	2920	1	2014	2014	0.0
EXMO	Exercise Medicine Ontology	0.0	11	0.021611001964636542	energy#physical exercise#anaerobic exercise#type of exercise#vigorous-intensity activity#vigorous physical activity#aerobic exercise#sleep#exercise intensity#physical fitness#physical activity	407	2	2022	2022	0.02702702702702703
NPO	NanoParticle Ontology	0.0	3	0.005893909626719057	energy#radiation#electromagnetic radiation	1904	22	2008	2011	0.0
ACGT-MO	Cancer Research and Management ACGT Master Ontology	0.0	1	0.0019646365422396855	energy	1770	2	2008	2010	0.0
OBOE-SBC	Santa Barbara Coastal Observation Ontology	0.0	1	0.0019646365422396855	energy	631	1	2010	2010	0.0
CBO	Cell Behavior Ontology	0.0	1	0.0019646365422396855	energy	246	22	2010	2021	0.0
MS	Mass Spectrometry Ontology	0.0	1	0.0019646365422396855	energy	7310	222	2009	2023	0.0
AFO	Allotrope Merged Ontology Suite	0.0	2	0.003929273084479371	energy#electromagnetic radiation	3139	33	2019	2023	0.0
OPB	Ontology of Physics for Biology	0.0	1	0.0019646365422396855	energy	858	18	2008	2023	0.0
UO	Units of Measurement Ontology	0.0	1	0.0019646365422396855	calorie	572	220	2008	2023	0.0
TEO	Time Event Ontology	0.0	1	0.0019646365422396855	calorie	965	4	2012	2012	0.0
FIDEO	Food Interactions with Drugs Evidence Ontology	0.0	1	0.0019646365422396855	mineral supplement	3543	8	2020	2024	0.0
DILON	Dietary lifestyle ontology	0.0	3	0.005893909626719057	vitamin#malnutrition#smoking	262	2	2021	2021	0.0
PE-O	Pre-eclampsia Ontology	0.0	4	0.007858546168958742	social context#vitamin#economic status#chemical exposure	1251	3	2015	2016	0.0
ADO	Alzheimer's disease ontology	0.0	1	0.0019646365422396855	vitamin	1565	3	2013	2013	0.0
PHARE	Pharmacogenomic Relationships Ontology	0.0	1	0.0019646365422396855	vitamin	229	2	2012	2011	0.0
WC	Whole-cell modeling ontology	0.0	2	0.003929273084479371	vitamin#activity level	272	13	2019	2020	0.0
GRO	Gene Regulation Ontology	0.0	1	0.0019646365422396855	vitamin	507	5	2008	2015	0.0
TXPO	Toxic Process Ontology	0.0	3	0.005893909626719057	vitamin#toxic agent#xenobiotics	9407	6	2020	2022	0.0
GMO	Growth Medium Ontology	0.0	1	0.0019646365422396855	vitamin	1029	8	2013	2021	0.0
HOIP	Homeostasis imbalance process ontology	0.0	3	0.005893909626719057	vitamin#toxic agent#xenobiotics	13389	35	2020	2023	0.0
STO-DRAFT	The Stroke Ontology	0.0	6	0.011787819253438114	psychological therapy#tobacco use#vitamin intake#sedentary lifestyle#education#smoking	1712	1	2018	2018	0.0035046728971962616
CVAO	STO	0.0	6	0.011787819253438114	psychological therapy#tobacco use#vitamin intake#sedentary lifestyle#education#smoking	1712	2	2016	2017	0.0035046728971962616
ACVD_ONTOLOGY	Atherosclerotic Cerebrovascular Disease Ontology	0.0	7	0.0137524557956778	psychological therapy#aerobic exercise#sedentary lifestyle#vitamin intake#education#malnutrition#smoking	1715	2	2023	2023	0.004081632653061225
FGNHNS	FoodGroupNHNS	0.0	5	0.009823182711198428	beverages#vegetables#alcoholic beverages#milk and dairy products#fruits	1779	17	2022	2022	0.002810567734682406
MEO	Metagenome and Microbes Environmental Ontology	0.0	3	0.005893909626719057	heavy metal contamination#urban area#fruits	2518	9	2012	2017	0.0
N-CDOH	Non Clinical Determinants of Health	0.0	1	0.0019646365422396855	malnutrition	361	4	2023	2023	0.0
COVIDCRFRAPID	WHO COVID-19 Rapid Version CRF semantic data model	0.0	1	0.0019646365422396855	malnutrition	396	12	2020	2020	0.0
GAMUTS	Radiology Gamuts Ontology	0.0	7	0.0137524557956778	poor nutrition#radiation#heavy metal poisoning#tobacco use#chemical poisoning#malnutrition#smoking	18001	23	2017	2018	0.000388867285150825
DREAMDNPTO	Dementia-Related Emotional And Mood Disturbance Non-Pharmacological Treatment Ontology	0.0	6	0.011787819253438114	card game#bedtime#aerobic exercise#watching television#psychotherapy#malnutrition	1258	1	2022	2022	0.0047694753577106515
SSE	Surgical Secondary Events	0.0	1	0.0019646365422396855	malnutrition	244	1	2013	2013	0.0
DRPSNPTO	Dementia-Related Psychotic Symptoms Non-Pharmacological Treatment Ontology	0.0	4	0.007858546168958742	watching TV#bedtime#malnutrition#psychotherapy	610	1	2021	2021	0.0
DRANPTO	Dementia-Related Agitation Non-Pharmacological Treatment Ontology	0.0	4	0.007858546168958742	occupational activity#card game#physical activity#malnutrition	569	1	2020	2020	0.0
IFAR	Fanconi Anemia Ontology	0.0	2	0.003929273084479371	chemical exposure#malnutrition	4530	5	2013	2013	0.0
PCAO	Prostate Cancer Ontology	0.0	6	0.011787819253438114	education level#sleep#leisure time#malnutrition#education#physical activity	633	2	2019	2023	0.009478672985781991
CSEO	Cigarette Smoke Exposure Ontology	0.0	6	0.011787819253438114	housing condition#tobacco use#tobacco#education#malnutrition#smoking	20085	2	2014	2014	0.0002987303958177745
NEO	Neurologic Examination Ontology	0.0	1	0.0019646365422396855	malnutrition	1610	90	2019	2022	0.0
HP	Human Phenotype Ontology	0.0	2	0.003929273084479371	physical inactivity#malnutrition	21707	559	2008	2024	0.0
PATMHC	Placental Maternal Health Conditions	0.0	2	0.003929273084479371	poor nutrition#malnutrition	228	1	2020	2020	0.0
CSSO	Clinical Signs and Symptoms Ontology	0.0	1	0.0019646365422396855	malnutrition	303	6	2013	2016	0.0
MONDO	Mondo Disease Ontology	0.0	3	0.005893909626719057	heavy metal toxicity#heavy metal poisoning#malnutrition	27730	59	2017	2024	0.0
CONDOR	Liver Cancer Ontology Diagnosis Treatment	0.0	1	0.0019646365422396855	tobacco use	55	1	2023	2023	0.0
DEB	Devices, Experimental scaffolds and Biomaterials Ontology	0.0	1	0.0019646365422396855	doping	601	7	2019	2021	0.0
MI	Molecular Interactions	0.0	1	0.0019646365422396855	illicit drug	1635	65	2017	2023	0.0
PLANTSO	Plant Stress Ontology	0.0	1	0.0019646365422396855	tobacco	3933	3	2020	2023	0.0
BIRNLEX	Biomedical Informatics Research Network Project Lexicon	0.0	3	0.005893909626719057	relaxation time#education#smoking	3580	1	2007	2007	0.0
PINO	Pregnancy Information Needs Ontology	0.0	2	0.003929273084479371	sleep#smoking	267	2	2022	2022	0.0
TCO	Thyroid Cancer Ontology	0.0	1	0.0019646365422396855	smoking	578	2	2019	2020	0.0
EPO	Early Pregnancy Ontology	0.0	1	0.0019646365422396855	smoking	1388	1	2016	2016	0.0
BT-ONTOLOGY	BrainTeaser Ontology (BTO)	0.0	2	0.003929273084479371	physical activity#smoking	118	1	2023	2023	0.0
VDOT	Viral Disease Ontology Trunk	0.0	1	0.0019646365422396855	radiation exposure	519	35	2018	2021	0.0
DCM	DICOM Controlled Terminology	0.0	1	0.0019646365422396855	radiation exposure	4723	43	2014	2024	0.0
ECSO	The Ecosystem Ontology	0.0	1	0.0019646365422396855	electromagnetic radiation	2094	63	2015	2019	0.0
XEO	XEML Environment Ontology	0.0	1	0.0019646365422396855	radiation	145	4	2012	2012	0.0
BT	BioTop Ontology	0.0	1	0.0019646365422396855	radiation	390	11	2008	2014	0.0
MELO	Melanoma Ontology	0.0	1	0.0019646365422396855	radiation	528	2	2021	2021	0.0
SIO	Semanticscience Integrated Ontology	0.0	1	0.0019646365422396855	chemical exposure	1584	93	2010	2023	0.0
BIOMO	Biological Observation Matrix Ontology	0.0	1	0.0019646365422396855	chemical exposure	1596	1	2014	2014	0.0
FIRE	Fire Ontology	0.0	1	0.0019646365422396855	environmental condition	53	7	2013	2014	0.0
APOLLO-SV	Apollo Structured Vocabulary	0.0	1	0.0019646365422396855	environmental condition	1693	61	2017	2023	0.0
CCON	Cerrado concepts and plant community dynamics	0.0	1	0.0019646365422396855	environmental condition	86	8	2013	2014	0.0
I2SV	Integration and Implementation Sciences Vocabulary	0.0	2	0.003929273084479371	physical environment#education	2	1	2021	2021	0.0
DERMO	Human Dermatological Disease Ontology	0.0	1	0.0019646365422396855	heavy metal poisoning	3521	10	2013	2015	0.0
HINO	Human Interaction Network Ontology	0.0	1	0.0019646365422396855	xenobiotics	37630	6	2013	2014	0.0
PW	Pathway Ontology	0.0	1	0.0019646365422396855	xenobiotics	2688	109	2008	2023	0.0
ONTOPARON_SOCIAL	Ontology of amyotrophic  lateral sclerosis, social module	0.0	3	0.005893909626719057	social context#socializing#housework	1282	3	2017	2018	0.0
REGN_BRO	REGN_BRO	0.0	2	0.003929273084479371	social networking#education	486	1	2023	2023	0.0
BRO	Biomedical Resource Ontology	0.0	2	0.003929273084479371	social networking#education	488	13	2008	2010	0.0
BRO_ACRONYM	Bro_Name	0.0	2	0.003929273084479371	social networking#education	486	1	2016	2016	0.0
NLMVS	NIH NLM Value Sets	0.0	1	0.0019646365422396855	gambling and betting	5	1	2015	2015	0.0
LEGALAPA	legalapa	0.0	1	0.0019646365422396855	gambling	227	1	2014	2014	0.0
LEGALAPATEST2	apalegal	0.0	1	0.0019646365422396855	gambling	227	1	2014	2014	0.0
MWLA	Medical Web Lifestyle Aggregator	0.0	2	0.003929273084479371	sports#gambling	32	1	2015	2015	0.0
FAST-FORMGENRE	FAST (Faceted Application of Subject Terminology) FormGenre facet	0.0	1	0.0019646365422396855	video games	3	1	2017	2017	0.0
COGAT	Cognitive Atlas Ontology	0.0	5	0.009823182711198428	meditation#video games#sleep#social context#dream	4053	8	2011	2012	0.001233654083395016
FAST-GENREFORM	FAST (Faceted Access of Subject Terminology) GenreForm	0.0	1	0.0019646365422396855	video games	4	3	2017	2017	0.0
RAO	Rheumatoid Arthritis ontology	0.0	3	0.005893909626719057	education#aerobic exercise#physical activity	280	1	2015	2015	0.0
FRMO	Fall Risk Management Ontology 	0.0	3	0.005893909626719057	household chores#physical activity#education level	890	18	2022	2023	0.0
TRAK	Taxonomy for Rehabilitation of Knee Conditions	0.0	2	0.003929273084479371	aerobic exercise#physical fitness	1619	5	2013	2015	0.0
TOCWWE	Treatment of Childbearing-age Women with Epilepsy 	0.0	3	0.005893909626719057	cognitive behavioral therapy#physical exercise#psychotherapy	264	1	2021	2021	0.0
APAOCUEMPLOY	APA Occupational and Employment cluster	0.0	3	0.005893909626719057	sports#education#psychotherapy	448	1	2015	2015	0.0
TIMEBANK	Timebank Ontology	0.0	1	0.0019646365422396855	sports	133	2	2020	2020	0.0
APAEDUCLUSTER	Educational Cluster	0.0	3	0.005893909626719057	literacy#sports#education	509	1	2015	2015	0.0
NETFLIX	Netflix Class Ontology 	0.0	1	0.0019646365422396855	sports	20	1	2023	2023	0.0
HORD	Holistic Ontology of Rare Diseases	0.0	1	0.0019646365422396855	sports	14558	4	2017	2019	0.0
CCTOO	Cancer Care: Treatment Outcome Ontology	0.0	2	0.003929273084479371	sleep quality#household activity	1133	2	2018	2018	0.0
CWD	Consumer Wearable Device	0.0	1	0.0019646365422396855	sleep	46	1	2018	2018	0.0
PMDO	Parkinson and Movement Disorder Ontology	0.0	1	0.0019646365422396855	sleep	629	4	2021	2023	0.0
G4-DSIP	Group 4-Data Science in Practice	0.0	1	0.0019646365422396855	sleep	2	6	2023	2024	0.0
ATOL	Animal Trait Ontology for Livestock	0.0	1	0.0019646365422396855	sleep duration	2352	2	2014	2014	0.0
CCO	Cell Cycle Ontology	0.0	2	0.003929273084479371	CBT#dream	264891	6	2009	2014	0.0
PR	Protein Ontology	0.0	1	0.0019646365422396855	dream	334916	77	2008	2023	0.0
RETO	Regulation of Transcription Ontology	0.0	2	0.003929273084479371	CBT#dream	147738	8	2012	2015	0.0
GEXO	Gene Expression Ontology	0.0	2	0.003929273084479371	CBT#dream	166254	2	2012	2015	0.0
HENEGEO	Head and Neck Cancer - Clinical and Gene Ontology	0.0	2	0.003929273084479371	CBT#dream	29996	1	2023	2023	0.0
REXO	Regulation of Gene Expression Ontolology	0.0	2	0.003929273084479371	CBT#dream	158239	6	2012	2015	0.0
OGG-MM	Ontology of Genes and Genomes - Mouse	0.0	1	0.0019646365422396855	dream	69433	5	2014	2018	0.0
HGNC-NR	HGNC New Releases Ontology	0.0	2	0.003929273084479371	CBT#dream	48897	8	2021	2023	0.0
OGG	Ontology of Genes and Genomes	0.0	2	0.003929273084479371	CBT#dream	69689	3	2014	2016	0.0
SDO	Sleep Domain Ontology	0.0	2	0.003929273084479371	deep sleep#rapid eye movement (REM) sleep	1382	4	2010	2015	0.0
