acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap
PLOSTHES	PLOS Thesaurus	0.0	33	0.06483300589390963	diet#radiation exposure#video games#alcohol consumption#recreational drug use#sanitation#physical fitness#ionizing radiation#psychotherapy#alcoholic beverages#sleep#jobs#education#nutrition#malnutrition#fruits#beverages#physical activity#housing#radiation#employment#vegetables#sports#food#gambling#tobacco#literacy#aerobic exercise#relaxation time#eating habits#hygiene#electromagnetic radiation#oral health	4	4	2015	2017	0.0
MDM	Mapping of Drug Names and MeSH 2022	0.0	117	0.22986247544204322	pesticide residues#physical activities#video games#tobacco use#employment status#physical exercise#occupational status#sleep#dietary habits#vegetable products#fruits#beverages#illicit drug#developing country#eating behavior#tobacco#sedentary lifestyle#social context#phytochemical#economic factors#leisure#literacy#team sport#dream#physical fitness#dental hygiene#diet#heavy metal poisoning#radiation exposure#delta sleep#dietary fiber#physical inactivity#alcohol consumption#dietary carbohydrate#psychological interventions#hand hygiene#developed country#alcoholic beverages#recreational drug#calorie intake#dioxin#education#housing#malnutrition#sleeping habits#sports#income#food#personal care products#paradoxical sleep#mobile phone use#performance-enhancing substance#smokeless tobacco#food habit#social environment#sleep habits#deep sleep#slavery#oral hygiene#socioeconomic factors#cognitive behavioral therapy#phytonutrient#xenobiotics#ionizing radiation#economic status#dietary fat#REM sleep#labor exploitation#household work#employment#radiation#housework#vegetables#food packaging#salary#illegal drug#developed nation#social factors#aerobic exercise#eating habits#hygiene#electromagnetic radiation#oral health#developing nation#socioeconomic status#macronutrient#household activities#recreational drug use#sleep quality#sanitation#micronutrient#sleep stage#cosmetic surgery#housing condition#social networking#environmental exposures#psychotherapy#psychoanalytic therapy#occupational exposure#performance-enhancing drug#food containers#smoking#physical activity#slow-wave sleep#social conditions#meditation#performance enhancing substance#gambling#household activity#caloric intake#plastic surgery#dental implant#vitamin#food additive#social status#substance use#wage	44789	5	2021	2022	0.0026122485431690815
ADAR	Autism DSM-ADI-R ontology	0.0	1	0.0019646365422396855	hygiene	791	1	2015	2015	0.0
RH-MESH	Robert Hoehndorf Version of MeSH	0.0	40	0.07858546168958742	pesticide residues#diet#slavery#dietary fiber#oral hygiene#socioeconomic factors#video games#tobacco use#sanitation#physical fitness#xenobiotics#hand hygiene#social networking#psychotherapy#alcoholic beverages#occupational exposure#psychoanalytic therapy#sleep#education#housing#malnutrition#smoking#beverages#employment#radiation#vegetables#heavy metal toxicity#sports#income#social conditions#food packaging#food#meditation#gambling#tobacco#sedentary lifestyle#hygiene#social environment#electromagnetic radiation#oral health	305349	3	2012	2014	0.00013099764531732542
OMIT	Ontology for MicroRNA Target	0.0	42	0.0825147347740668	pesticide residues#diet#slavery#radiation exposure#dietary fiber#oral hygiene#socioeconomic factors#video games#tobacco use#sanitation#physical fitness#xenobiotics#hand hygiene#social networking#psychotherapy#alcoholic beverages#occupational exposure#psychoanalytic therapy#sleep#vegetable products#education#malnutrition#smoking#beverages#housing#employment#radiation#vegetables#sports#income#social conditions#food packaging#food#meditation#gambling#tobacco#sedentary lifestyle#literacy#hygiene#social environment#electromagnetic radiation#oral health	90916	41	2010	2021	0.0004619648906683092
EPIO	EpilepsyOntology	0.0	7	0.0137524557956778	REM sleep#psychotherapy#alcohol consumption#paradoxical sleep#hygiene#CBT#rapid eye movement sleep	1916	1	2021	2021	0.0036534446764091857
UPHENO	Combined Phenotype Ontology	0.0	21	0.0412573673870334	macronutrient#alcohol consumption#micronutrient#xenobiotics#sleeping behavior#REM sleep#environmental condition#sleep#sleep duration#malnutrition#radiation#eating behavior#eating behaviour#food#paradoxical sleep#rapid eye movement sleep#vitamin#food additive#hygiene#toxic agent#electromagnetic radiation	172043	4	2012	2021	0.00012206250762890672
NBO	Neuro Behavior Ontology	0.0	13	0.025540275049115914	sleeping behavior#macronutrient#food additive#eating behavior#eating behaviour#REM sleep#food#alcohol consumption#sleep#hygiene#paradoxical sleep#sleep duration#rapid eye movement sleep	4548	38	2011	2023	0.0028583992963940193
NIFSTD	Neuroscience Information Framework (NIF) Standard Ontology	0.0	21	0.0412573673870334	macronutrient#micronutrient#xenobiotics#sleep#education#smoking#energy#eating behavior#eating behaviour#food#tobacco#social context#drug use#vitamin#food additive#drug usage#substance use#relaxation time#hygiene#toxic agent#dream	177630	24	2007	2018	0.00011822327309576085
UBERON	Uber Anatomy Ontology	0.0	8	0.015717092337917484	macronutrient#food additive#eating behaviour#food#sleep#hygiene#toxic agent#micronutrient	26365	325	2008	2024	0.00030343258107339276
MEDDRA	Medical Dictionary for Regulatory Activities Terminology (MedDRA)	0.5	21	0.0412573673870334	heavy metal poisoning#radiation exposure#oral hygiene#pesticide poisoning#cognitive behavioral therapy#tobacco use#recreational drug use#exposure to toxic agent#chemical exposure#psychotherapy#malnutrition#food#gambling#exposure to radiation#plastic surgery#chemical poisoning#vitamin#substance use#alcohol use#occupational activity#personal hygiene	78822	22	2013	2023	0.00026642307985080306
SYN	Sage Bionetworks Synapse Ontology	0.0	12	0.023575638506876228	leisure#social networking#vitamin#oral hygiene#aerobic exercise#psychotherapy#alcohol consumption#tobacco use#socializing#sedentary lifestyle#household activity#physical activity	14462	3	2011	2012	0.0008297607523164155
SNOMEDCT	SNOMED CT	0.5	67	0.13163064833005894	occupational activity#diet#oral hygiene#pesticide poisoning#tobacco use#deep sleep#traveling#cosmetic surgery#calorie#travelling#NREM sleep#ionizing radiation#economic status#employment status#physical exercise#cognitive-behaviour therapy#mineral supplement#sweets#REM sleep#lack of physical exercise#active sleep#psychotherapy#sleep#fluid intake#calorie intake#dioxin#illicit drug use#exposure to ionizing radiation#education#nutrition#malnutrition#smoking#physical activity#physical environment#household income#radiation#housework#religiosity#cognitive-behavior therapy#sports#processed food#mental health care#food#pet ownership#gambling#paradoxical sleep#tobacco#sedentary lifestyle#exposure to radiation#social context#phytochemical#toxic chemical#rapid eye movement sleep#financial status#plastic surgery#exposure to vibration#chemical poisoning#vitamin#food additive#bedtime#social status#urban environment#vitamin intake#exposed to vibration#dream#electromagnetic radiation#dental hygiene	367827	27	2009	2023	0.00018215084808891136
NPI	Non-Pharmacological Interventions (NPIs)	0.0	6	0.011787819253438114	physical exercise#oral hygiene#aerobic exercise#psychotherapy#cognitive-behavioural therapy#physical activity	45	5	2016	2018	0.0
MEDLINEPLUS	MedlinePlus Health Topics	0.5	19	0.03732809430255403	dental health#radiation exposure#dietary fiber#alcohol consumption#cosmetic surgery#oral health#carbs#nutrition#malnutrition#smoking#cleaning products#food#gambling#sedentary lifestyle#smokeless tobacco#vitamin#dieting#occupational activity#physical fitness	2266	21	2013	2023	0.008384819064430714
